soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
lobby,35,1,14.33,1232.15,259.49,175.0,540.51,1018.29,163.04,4744.59,3.17,26.57
lobby,35,2,14.59,1255.39,239.89,0.0,536.78,1023.12,163.17,4768.53,2.64,26.66
lobby,35,3,16.17,1236.29,230.79,0.0,597.52,1018.07,162.09,4784.49,2.56,26.25
lobby,36,1,24.95,1255.81,262.87,0.0,842.02,1019.42,179.84,4839.54,3.02,27.32
lobby,36,2,14.71,1237.13,294.04,0.0,553.75,989.56,182.17,4767.37,3.5,27.58
lobby,36,3,36.84,1236.08,281.87,0.0,759.44,1000.23,179.43,4667.24,3.82,27.2
lobby,37,1,30.09,1227.57,244.08,0.0,655.22,1057.81,315.17,5423.91,9.45,33.85
lobby,37,2,20.75,1231.15,250.42,0.0,622.19,1043.01,315.34,5424.31,5.12,34.34
lobby,37,3,18.18,1168.68,237.14,0.0,570.3,984.94,295.65,5129.56,4.88,32.81
lobby,38,1,15.56,1103.03,296.65,0.0,583.63,939.69,338.39,5039.5,3.84,34.1
lobby,38,2,16.14,1094.85,290.39,0.0,583.62,939.58,339.83,5068.46,3.5,33.09
lobby,38,3,15.95,1107.48,291.08,0.0,575.09,925.57,340.54,5033.89,3.73,33.14
lobby,39,1,20.32,1480.59,728.51,21.81,742.16,3192.56,361.26,5814.99,7.52,37.41
lobby,39,2,19.25,1453.88,788.42,21.4,691.42,3376.96,358.7,5749.74,7.48,37.0
lobby,39,3,42.26,1482.42,835.49,19.11,815.66,3152.54,359.02,5791.77,7.0,36.74
lobby,40,1,22.75,1589.97,954.93,32.99,751.45,3510.61,388.72,6720.93,7.03,34.81
lobby,40,2,29.1,1524.49,963.43,39.77,757.94,3547.77,376.27,6283.15,7.52,32.64
lobby,40,3,23.02,1597.57,1025.82,39.75,750.19,3379.1,385.47,6562.84,7.29,33.61
lobby,41,1,19.37,1488.01,1421.0,72.43,738.8,3543.48,387.69,6007.34,6.49,35.85
lobby,41,2,18.79,1475.94,1456.57,71.24,733.34,3496.31,384.46,5928.64,6.09,35.32
lobby,41,3,27.46,1489.56,1485.42,71.81,865.0,3469.87,386.0,5925.79,6.03,35.5
lobby,42,1,22.19,1514.2,1731.86,70.94,784.43,3396.25,398.12,6267.83,8.82,35.67
lobby,42,2,20.85,1493.6,1766.55,65.67,689.84,3277.61,396.64,6249.02,8.08,35.47
lobby,42,3,20.31,1507.13,1797.48,78.79,714.27,3150.4,398.89,6245.9,9.41,35.87
lobby,43,1,17.49,1545.74,2216.64,70.04,700.7,3382.68,301.86,5442.95,6.53,38.83
lobby,43,2,17.3,1545.67,2244.36,69.39,685.43,3155.4,304.0,5439.5,6.62,39.06
lobby,43,3,17.22,1575.51,2257.02,72.03,699.02,3083.22,301.77,5523.53,6.6,39.23
lobby,44,1,18.41,1532.33,2080.02,61.89,708.46,3086.79,343.12,5541.8,7.45,37.98
lobby,44,2,17.8,1524.84,2086.0,58.72,710.33,3196.14,343.17,5595.3,7.1,38.44
lobby,44,3,18.63,1555.53,2112.87,61.67,739.63,3107.52,346.37,5712.3,7.18,38.77
lobby,45,1,18.4,1536.53,1918.78,62.86,639.03,3239.74,325.01,5536.09,6.27,36.94
lobby,45,2,17.87,1493.4,1926.44,63.15,634.5,3150.4,324.32,5453.52,5.94,36.94
lobby,45,3,18.8,1478.96,1951.4,66.95,642.51,3249.03,324.73,5455.08,6.32,37.42
lobby,46,1,1.15,1462.79,675.48,0.0,587.29,3053.91,288.97,5331.83,5.5,34.36
lobby,46,2,0.92,1443.99,725.68,0.0,597.34,3322.64,286.15,5248.28,5.48,33.78
lobby,46,3,0.72,1483.46,820.27,0.0,613.62,3063.2,299.07,5355.64,6.13,35.26
lobby,47,1,0.6,1562.32,968.66,8.38,597.18,3080.36,287.71,5193.07,4.87,37.93
lobby,47,2,1.2,1476.86,1001.89,14.96,587.41,3094.65,284.46,5063.72,5.34,38.17
